Date Time	Web Site	Product	Quantity	Discount	Retail Price
2/1/15 00:01	amazon.com	Fun Fly	2	0.019	$5.00
2/1/15 00:37	amazon.com	Eagle	59	0.38	$21.95
2/1/15 00:43	ebay.com	Yanaki	4	0	$23.95
2/1/15 00:45	amazon.com	Fun Fly	3	0.018	$5.00
2/1/15 01:25	coloradoboomerangs.com	Aspen	36	0.15	$21.95
2/1/15 01:40	gel-boomerang.com	Quad	36	0.15	$39.95
2/1/15 01:44	amazon.com	Sunshine	3	0.02	$20.00
2/1/15 02:06	ebay.com	Fun Fly	124	0.575	$5.00
2/1/15 02:13	coloradoboomerangs.com	Aspen	5	0.05	$21.95
2/1/15 02:15	ebay.com	Bellen	1	0	$25.00
2/1/15 02:18	amazon.com	Fun Fly	79	0.36	$5.00
2/1/15 02:20	coloradoboomerangs.com	Fun Fly	41	0.15	$5.00
2/1/15 02:30	amazon.com	Fun Fly	2	0.019	$5.00
2/1/15 02:32	coloradoboomerangs.com	Yanaki	3	0	$23.95
2/1/15 02:33	amazon.com	Sunset	27	0.163	$26.00
2/1/15 02:34	coloradoboomerangs.com	Fun Fly	2	0	$5.00
2/1/15 02:34	ebay.com	Yanaki	57	0.375	$23.95
2/1/15 02:37	coloradoboomerangs.com	Fun Fly	2	0	$5.00
2/1/15 02:41	ebay.com	Sunshine	1	0	$20.00
2/1/15 02:41	ebay.com	Fun Fly	63	0.375	$5.00
2/1/15 02:47	amazon.com	Frido Fast Catch	2	0.018	$50.00
2/1/15 02:50	coloradoboomerangs.com	Fun Fly	5	0.05	$5.00
2/1/15 02:53	amazon.com	Carlota	2	0.019	$19.95
2/1/15 02:56	ebay.com	Quad	43	0.15	$39.95
2/1/15 02:59	amazon.com	Sunset	1	0.019	$26.00
2/1/15 03:03	amazon.com	Manu MTA	5	0.072	$120.00
2/1/15 03:05	amazon.com	Fun Fly	60	0.363	$5.00
2/1/15 03:12	coloradoboomerangs.com	Phoenix	7	0.05	$23.95
2/1/15 03:14	ebay.com	Aspen	4	0	$21.95
2/1/15 03:15	amazon.com	Sunset	3	0.018	$26.00
2/1/15 03:21	amazon.com	Quad	64	0.369	$39.95
2/1/15 03:22	amazon.com	Bellen	3	0.018	$25.00
2/1/15 03:22	amazon.com	Manu LD	3	0.019	$250.00
2/1/15 03:23	ebay.com	Sunshine	1	0	$20.00
2/1/15 03:24	coloradoboomerangs.com	Carlota	7	0.05	$19.95
2/1/15 03:28	coloradoboomerangs.com	Mejestic Beaut	40	0.15	$26.95
2/1/15 03:28	coloradoboomerangs.com	Sunshine	4	0	$20.00
2/1/15 03:35	coloradoboomerangs.com	Sunshine	69	0.375	$20.00
2/1/15 03:37	coloradoboomerangs.com	Mejestic Beaut	1	0	$26.95
2/1/15 03:38	gel-boomerang.com	Mejestic Beaut	1	0	$26.95
2/1/15 03:39	coloradoboomerangs.com	Sunshine	46	0.15	$20.00
2/1/15 03:42	gel-boomerang.com	Fun Fly	48	0.15	$5.00
2/1/15 03:43	coloradoboomerangs.com	Yanaki	144	0.575	$23.95
2/1/15 03:46	amazon.com	Fun Fly	45	0.161	$5.00
2/1/15 03:49	amazon.com	Bellen	3	0.02	$25.00
2/1/15 03:53	gel-boomerang.com	Fun Fly	43	0.15	$5.00
2/1/15 03:54	amazon.com	Fun Fly	2	0.018	$5.00
2/1/15 03:54	coloradoboomerangs.com	Fun Fly	1	0	$5.00
2/1/15 03:55	ebay.com	Carlota	2	0	$19.95
2/1/15 03:59	gel-boomerang.com	Bower Aussie Round	56	0.375	$43.00
2/1/15 03:59	amazon.com	Fun Fly	31	0.168	$5.00
2/1/15 04:02	amazon.com	Fun Fly	1	0.019	$5.00
2/1/15 04:02	amazon.com	Mejestic Beaut	130	0.563	$26.95
2/1/15 04:09	gel-boomerang.com	Fun Fly	21	0.075	$5.00
2/1/15 04:13	amazon.com	Bellen	1	0.019	$25.00
2/1/15 04:20	amazon.com	Fun Fly	6	0.07	$5.00
2/1/15 04:30	ebay.com	Yanaki	67	0.375	$23.95
2/1/15 04:36	ebay.com	Fun Fly	32	0.15	$5.00
2/1/15 04:37	ebay.com	Fun Fly	30	0.15	$5.00
2/1/15 04:38	coloradoboomerangs.com	Fun Fly	56	0.375	$5.00
2/1/15 04:39	coloradoboomerangs.com	Fun Fly	81	0.375	$5.00
2/1/15 04:47	gel-boomerang.com	Carlota	69	0.375	$19.95
2/1/15 04:47	coloradoboomerangs.com	Fun Fly	2	0	$5.00
2/1/15 04:47	amazon.com	Fun Fly	1	0.019	$5.00
2/1/15 04:48	amazon.com	Mejestic Beaut	2	0.018	$26.95
2/1/15 04:48	ebay.com	Crested Beaut	2	0	$17.95
2/1/15 04:51	coloradoboomerangs.com	Quad	43	0.15	$39.95
2/1/15 05:05	gel-boomerang.com	Darnell Tri Fly	5	0.05	$9.95
2/1/15 05:06	coloradoboomerangs.com	Yanaki	4	0	$23.95
