Date Time	Web Site	Product	Quantity	Discount	Retail Price
1/1/15 00:05	gel-boomerang.com	Sunshine	40	0.15	$20.00
1/1/15 00:09	amazon.com	Quad	31	0.158	$39.95
1/1/15 00:30	coloradoboomerangs.com	Darnell Tri Fly	2	0	$9.95
1/1/15 00:44	coloradoboomerangs.com	Carlota Doublers	4	0	$75.00
1/1/15 00:46	amazon.com	Fun Fly	1	0.019	$5.00
1/1/15 00:49	ebay.com	Phoenix	8	0.05	$23.95
1/1/15 01:11	coloradoboomerangs.com	Carlota	5	0.05	$19.95
1/1/15 01:16	coloradoboomerangs.com	Quad	2	0	$39.95
1/1/15 01:43	amazon.com	Frido Fast Catch	2	0.018	$50.00
1/1/15 01:48	gel-boomerang.com	Fun Fly	36	0.15	$5.00
1/1/15 01:58	amazon.com	Fun Fly	3	0.019	$5.00
1/1/15 02:10	amazon.com	Fun Fly	125	0.569	$5.00
1/1/15 02:13	ebay.com	Aspen	33	0.15	$21.95
1/1/15 02:15	ebay.com	Fun Fly	8	0.05	$5.00
1/1/15 02:15	coloradoboomerangs.com	Quad	2	0	$39.95
1/1/15 02:15	ebay.com	Mejestic Beaut	60	0.375	$26.95
1/1/15 02:17	amazon.com	Quad	4	0.019	$39.95
1/1/15 02:19	amazon.com	Quad	3	0.019	$39.95
1/1/15 02:23	coloradoboomerangs.com	Crested Beaut	67	0.375	$17.95
1/1/15 02:25	amazon.com	Fun Fly	34	0.168	$5.00
1/1/15 02:27	coloradoboomerangs.com	Quad	2	0	$39.95
1/1/15 02:31	coloradoboomerangs.com	Carlota	1	0	$19.95
1/1/15 02:32	coloradoboomerangs.com	Fun Fly	55	0.375	$5.00
1/1/15 02:33	coloradoboomerangs.com	Bower Aussie Round	98	0.375	$43.00
1/1/15 02:33	ebay.com	Manu LD	2	0	$250.00
1/1/15 02:34	coloradoboomerangs.com	Fun Fly	39	0.15	$5.00
1/1/15 02:35	ebay.com	Fun Fly	5	0.05	$5.00
1/1/15 02:35	coloradoboomerangs.com	Mejestic Beaut	4	0	$26.95
1/1/15 02:41	ebay.com	Manu MTA	4	0	$120.00
1/1/15 02:41	amazon.com	Fun Fly	2	0.019	$5.00
1/1/15 02:45	coloradoboomerangs.com	Eagle	1	0	$21.95
1/1/15 02:45	amazon.com	Fun Fly	32	0.168	$5.00
1/1/15 02:45	coloradoboomerangs.com	Fun Fly	63	0.375	$5.00
1/1/15 02:46	gel-boomerang.com	Fun Fly	1	0	$5.00
1/1/15 02:50	amazon.com	Fun Fly	2	0.019	$5.00
1/1/15 02:51	coloradoboomerangs.com	Fun Fly	39	0.15	$5.00
1/1/15 02:54	coloradoboomerangs.com	Crested Beaut	31	0.15	$17.95
1/1/15 02:59	ebay.com	Yanaki	5	0.05	$23.95
1/1/15 03:04	ebay.com	Fun Fly	40	0.15	$5.00
1/1/15 03:05	coloradoboomerangs.com	Quad	3	0	$39.95
1/1/15 03:05	amazon.com	Fun Fly	1	0.018	$5.00
1/1/15 03:08	coloradoboomerangs.com	Crested Beaut	33	0.15	$17.95
1/1/15 03:14	gel-boomerang.com	Quad	69	0.375	$39.95
1/1/15 03:14	amazon.com	Yanaki	36	0.164	$23.95
1/1/15 03:15	amazon.com	Fun Fly	2	0.018	$5.00
1/1/15 03:18	gel-boomerang.com	Quad	37	0.15	$39.95
1/1/15 03:23	ebay.com	Fun Fly	156	0.575	$5.00
1/1/15 03:27	amazon.com	Quad	37	0.165	$39.95
1/1/15 03:29	amazon.com	Fire Aspen	36	0.167	$22.00
1/1/15 03:31	amazon.com	Fun Fly	8	0.069	$5.00
1/1/15 03:32	coloradoboomerangs.com	Carlota	6	0.05	$19.95
1/1/15 03:33	ebay.com	Quad	3	0	$39.95
1/1/15 03:37	coloradoboomerangs.com	Fun Fly	72	0.375	$5.00
1/1/15 03:37	ebay.com	Mejestic Beaut	34	0.15	$26.95
1/1/15 03:39	ebay.com	Fun Fly	74	0.375	$5.00
1/1/15 03:40	ebay.com	Sunshine	5	0.05	$20.00
1/1/15 03:42	amazon.com	Eagle	44	0.164	$21.95
1/1/15 03:49	coloradoboomerangs.com	Manu LD	3	0	$250.00
1/1/15 03:49	amazon.com	Crested Beaut	32	0.158	$17.95
1/1/15 03:50	gel-boomerang.com	Fun Fly	37	0.15	$5.00
