Date Time	Web Site	Product	Quantity	Discount	Retail Price
6/1/15 00:10	amazon.com	Sunspot	30	0.16	$14.00
6/1/15 00:21	ebay.com	Fun Fly	37	0.15	$5.00
6/1/15 00:22	ebay.com	Quad	26	0.15	$39.95
6/1/15 00:26	coloradoboomerangs.com	Carlota	6	0.05	$19.95
6/1/15 00:35	amazon.com	Phoenix	70	0.376	$23.95
6/1/15 00:36	coloradoboomerangs.com	Fun Fly	2	0	$5.00
6/1/15 00:38	amazon.com	Fun Fly	48	0.16	$5.00
6/1/15 00:42	gel-boomerang.com	Bower Aussie Round	34	0.15	$43.00
6/1/15 00:44	coloradoboomerangs.com	Fun Fly	117	0.575	$5.00
6/1/15 00:45	amazon.com	Frido Fast Catch	2	0.019	$50.00
6/1/15 00:49	coloradoboomerangs.com	Fun Fly	32	0.15	$5.00
6/1/15 00:49	ebay.com	Fun Fly	35	0.15	$5.00
6/1/15 01:04	coloradoboomerangs.com	Sunshine	3	0	$20.00
6/1/15 01:07	amazon.com	Fun Fly	44	0.16	$5.00
6/1/15 01:11	amazon.com	Aspen	22	0.1	$21.95
6/1/15 01:20	coloradoboomerangs.com	Fun Fly	3	0	$5.00
6/1/15 01:26	gel-boomerang.com	Fun Fly	65	0.375	$5.00
6/1/15 01:26	ebay.com	Fun Fly	1	0	$5.00
6/1/15 01:31	amazon.com	Quad	146	0.571	$39.95
6/1/15 01:35	coloradoboomerangs.com	Fun Fly	45	0.15	$5.00
6/1/15 01:44	amazon.com	Crested Beaut	1	0.018	$17.95
6/1/15 01:47	amazon.com	Quad	24	0.103	$39.95
6/1/15 01:48	amazon.com	Fun Fly	59	0.357	$5.00
6/1/15 01:53	amazon.com	Crested Beaut	4	0.019	$17.95
6/1/15 01:53	amazon.com	Fun Fly	2	0.019	$5.00
6/1/15 01:55	gel-boomerang.com	Bellen	40	0.15	$25.00
6/1/15 01:57	gel-boomerang.com	Fun Fly	13	0.075	$5.00
6/1/15 01:58	ebay.com	Manu LD	4	0	$250.00
6/1/15 02:00	coloradoboomerangs.com	Aspen	1	0	$21.95
6/1/15 02:09	ebay.com	Bower Aussie Round	1	0	$43.00
6/1/15 02:10	ebay.com	Yanaki	4	0	$23.95
6/1/15 02:10	amazon.com	Fun Fly	6	0.068	$5.00
6/1/15 02:11	ebay.com	Fun Fly	51	0.375	$5.00
6/1/15 02:11	coloradoboomerangs.com	Quad	6	0.05	$39.95
6/1/15 02:11	ebay.com	Fun Fly	40	0.15	$5.00
6/1/15 02:12	coloradoboomerangs.com	Fire Aspen	1	0	$22.00
6/1/15 02:12	ebay.com	Sunspot	3	0	$14.00
6/1/15 02:13	amazon.com	Quad	3	0.019	$39.95
6/1/15 02:14	ebay.com	Crested Beaut	5	0.05	$17.95
6/1/15 02:14	ebay.com	Aspen	1	0	$21.95
6/1/15 02:14	ebay.com	Eagle	7	0.05	$21.95
6/1/15 02:14	amazon.com	Fun Fly	26	0.17	$5.00
6/1/15 02:15	gel-boomerang.com	Fun Fly	33	0.15	$5.00
6/1/15 02:15	coloradoboomerangs.com	Bellen	4	0	$25.00
6/1/15 02:15	ebay.com	Bower Aussie Round	66	0.375	$43.00
6/1/15 02:15	amazon.com	Fire Aspen	39	0.169	$22.00
6/1/15 02:15	ebay.com	Fire Aspen	68	0.375	$22.00
6/1/15 02:15	ebay.com	Carlota	64	0.375	$19.95
6/1/15 02:19	gel-boomerang.com	Quad	3	0	$39.95
6/1/15 02:19	amazon.com	Quad	57	0.355	$39.95
6/1/15 02:20	amazon.com	Sunshine	33	0.159	$20.00
6/1/15 02:21	amazon.com	Fun Fly	7	0.07	$5.00
6/1/15 02:25	amazon.com	Fun Fly	4	0.018	$5.00
6/1/15 02:26	amazon.com	Fun Fly	4	0.018	$5.00
6/1/15 02:26	ebay.com	Manu MTA	3	0	$120.00
6/1/15 02:27	amazon.com	Fun Fly	2	0.018	$5.00
6/1/15 02:28	coloradoboomerangs.com	Manu MTA	1	0	$120.00
6/1/15 02:29	ebay.com	Fun Fly	2	0	$5.00
6/1/15 02:29	coloradoboomerangs.com	Aspen	51	0.375	$21.95
6/1/15 02:30	amazon.com	Quad	3	0.02	$39.95
6/1/15 02:30	amazon.com	Mejestic Beaut	1	0.019	$26.95
6/1/15 02:31	ebay.com	Fun Fly	64	0.375	$5.00
6/1/15 02:31	amazon.com	Bower Aussie Round	47	0.166	$43.00
6/1/15 02:31	amazon.com	Crested Beaut	3	0.019	$17.95
6/1/15 02:32	coloradoboomerangs.com	Fun Fly	7	0.05	$5.00
6/1/15 02:32	amazon.com	Quad	138	0.582	$39.95
6/1/15 02:32	gel-boomerang.com	Darnell Tri Fly	34	0.15	$9.95
6/1/15 02:33	amazon.com	GelFast	1	0.019	$24.00
6/1/15 02:33	coloradoboomerangs.com	Quad	1	0	$39.95
6/1/15 02:33	ebay.com	Bower Aussie Round	35	0.15	$43.00
6/1/15 02:34	amazon.com	Sunset	35	0.167	$26.00
6/1/15 02:35	coloradoboomerangs.com	Fun Fly	130	0.575	$5.00
6/1/15 02:36	amazon.com	Aspen	35	0.158	$21.95
6/1/15 02:37	ebay.com	Bellen	3	0	$25.00
6/1/15 02:38	coloradoboomerangs.com	Fun Fly	2	0	$5.00
6/1/15 02:39	coloradoboomerangs.com	Sunset	4	0	$26.00
6/1/15 02:41	coloradoboomerangs.com	Yanaki	4	0	$23.95
6/1/15 02:41	amazon.com	GelFast	30	0.16	$24.00
6/1/15 02:41	coloradoboomerangs.com	Crested Beaut	7	0.05	$17.95
6/1/15 02:41	amazon.com	Fun Fly	36	0.161	$5.00
6/1/15 02:43	amazon.com	Bower Aussie Round	35	0.169	$43.00
6/1/15 02:43	amazon.com	Fun Fly	7	0.07	$5.00
6/1/15 02:45	amazon.com	Bellen	35	0.168	$25.00
6/1/15 02:45	gel-boomerang.com	Fun Fly	40	0.15	$5.00
6/1/15 02:45	amazon.com	Quad	1	0.018	$39.95
6/1/15 02:46	gel-boomerang.com	Quad	2	0	$39.95
6/1/15 02:46	amazon.com	Sunshine	2	0.018	$20.00
6/1/15 02:47	amazon.com	Quad	7	0.072	$39.95
6/1/15 02:49	amazon.com	Fun Fly	4	0.018	$5.00
6/1/15 02:50	amazon.com	Quad	27	0.166	$39.95
6/1/15 02:51	gel-boomerang.com	Fun Fly	6	0.05	$5.00
6/1/15 02:51	amazon.com	Fun Fly	33	0.165	$5.00
6/1/15 02:53	coloradoboomerangs.com	Crested Beaut	4	0	$17.95
6/1/15 02:54	gel-boomerang.com	Mejestic Beaut	5	0.05	$26.95
6/1/15 02:54	coloradoboomerangs.com	Darnell Tri Fly	14	0.075	$9.95
6/1/15 02:56	amazon.com	Crested Beaut	40	0.169	$17.95
6/1/15 02:56	ebay.com	Crested Beaut	1	0	$17.95
6/1/15 02:56	coloradoboomerangs.com	Quad	6	0.05	$39.95
6/1/15 02:57	amazon.com	Fun Fly	40	0.163	$5.00
6/1/15 02:59	coloradoboomerangs.com	Fun Fly	92	0.375	$5.00
6/1/15 02:59	coloradoboomerangs.com	Bellen	1	0	$25.00
6/1/15 02:59	amazon.com	Fun Fly	5	0.069	$5.00
6/1/15 02:59	ebay.com	Alpine	34	0.15	$21.95
6/1/15 02:59	amazon.com	Carlota Doublers	1	0.02	$75.00
6/1/15 02:59	amazon.com	Crested Beaut	34	0.166	$17.95
6/1/15 03:00	coloradoboomerangs.com	Fun Fly	3	0	$5.00
6/1/15 03:01	amazon.com	Fun Fly	5	0.072	$5.00
6/1/15 03:02	amazon.com	Carlota	1	0.019	$19.95
6/1/15 03:03	coloradoboomerangs.com	Crested Beaut	1	0	$17.95
6/1/15 03:03	gel-boomerang.com	Carlota	36	0.15	$19.95
6/1/15 03:03	amazon.com	Fun Fly	1	0.019	$5.00
6/1/15 03:03	ebay.com	Darnell Tri Fly	3	0	$9.95
6/1/15 03:03	coloradoboomerangs.com	Carlota	3	0	$19.95
6/1/15 03:04	amazon.com	Sunshine	61	0.377	$20.00
6/1/15 03:05	amazon.com	Quad	2	0.018	$39.95
6/1/15 03:06	amazon.com	Quad	1	0.018	$39.95
6/1/15 03:06	ebay.com	Mejestic Beaut	40	0.15	$26.95
6/1/15 03:07	amazon.com	Crested Beaut	42	0.158	$17.95
6/1/15 03:07	amazon.com	Fun Fly	33	0.161	$5.00
6/1/15 03:08	coloradoboomerangs.com	Carlota	93	0.375	$19.95
6/1/15 03:08	gel-boomerang.com	Darnell Tri Fly	116	0.575	$9.95
6/1/15 03:09	ebay.com	Sunspot	96	0.375	$14.00
6/1/15 03:09	amazon.com	Frido Fast Catch	5	0.073	$50.00
6/1/15 03:09	ebay.com	Bower Aussie Round	6	0.05	$43.00
6/1/15 03:09	coloradoboomerangs.com	Quad	62	0.375	$39.95
6/1/15 03:09	ebay.com	Quad	1	0	$39.95
6/1/15 03:09	coloradoboomerangs.com	Quad	1	0	$39.95
6/1/15 03:09	amazon.com	Crested Beaut	1	0.018	$17.95
6/1/15 03:10	ebay.com	Yanaki	36	0.15	$23.95
6/1/15 03:11	amazon.com	Quad	3	0.018	$39.95
6/1/15 03:11	amazon.com	Fun Fly	77	0.358	$5.00
6/1/15 03:11	amazon.com	Bellen	2	0.019	$25.00
6/1/15 03:12	gel-boomerang.com	Fun Fly	2	0	$5.00
6/1/15 03:12	amazon.com	Bellen	3	0.019	$25.00
6/1/15 03:13	amazon.com	Manu LD	2	0.019	$250.00
6/1/15 03:14	amazon.com	Fun Fly	53	0.353	$5.00
6/1/15 03:14	ebay.com	Fun Fly	32	0.15	$5.00
6/1/15 03:14	amazon.com	Fun Fly	1	0.019	$5.00
6/1/15 03:15	amazon.com	GelFast	149	0.549	$24.00
6/1/15 03:17	ebay.com	Crested Beaut	18	0.075	$17.95
6/1/15 03:17	coloradoboomerangs.com	Frido Fast Catch	3	0	$50.00
6/1/15 03:17	ebay.com	Fun Fly	38	0.15	$5.00
6/1/15 03:17	coloradoboomerangs.com	Crested Beaut	7	0.05	$17.95
6/1/15 03:17	ebay.com	Eagle	31	0.15	$21.95
6/1/15 03:18	amazon.com	Quad	29	0.167	$39.95
6/1/15 03:18	amazon.com	Fun Fly	36	0.162	$5.00
6/1/15 03:18	coloradoboomerangs.com	Carlota Doublers	3	0	$75.00
6/1/15 03:18	amazon.com	Fun Fly	2	0.019	$5.00
6/1/15 03:19	coloradoboomerangs.com	Sunset	1	0	$26.00
6/1/15 03:21	gel-boomerang.com	Aspen	56	0.375	$21.95
6/1/15 03:22	amazon.com	Quad	3	0.019	$39.95
6/1/15 03:22	amazon.com	Bower Aussie Round	5	0.072	$43.00
6/1/15 03:22	amazon.com	Carlota	3	0.019	$19.95
6/1/15 03:24	amazon.com	Alpine	4	0.018	$21.95
6/1/15 03:24	coloradoboomerangs.com	Darnell Tri Fly	2	0	$9.95
6/1/15 03:26	amazon.com	Fun Fly	3	0.018	$5.00
6/1/15 03:26	amazon.com	Fun Fly	44	0.16	$5.00
6/1/15 03:26	gel-boomerang.com	Fun Fly	18	0.075	$5.00
6/1/15 03:27	ebay.com	Carlota Doublers	4	0	$75.00
6/1/15 03:27	amazon.com	Fun Fly	2	0.018	$5.00
6/1/15 03:27	ebay.com	Carlota	101	0.575	$19.95
6/1/15 03:28	coloradoboomerangs.com	Sunspot	74	0.375	$14.00
6/1/15 03:28	ebay.com	Quad	3	0	$39.95
6/1/15 03:29	amazon.com	Bellen	7	0.073	$25.00
6/1/15 03:30	amazon.com	Fun Fly	2	0.019	$5.00
6/1/15 03:31	coloradoboomerangs.com	Aspen	38	0.15	$21.95
6/1/15 03:31	ebay.com	Carlota	65	0.375	$19.95
6/1/15 03:31	amazon.com	Fun Fly	2	0.018	$5.00
6/1/15 03:33	amazon.com	Fun Fly	5	0.07	$5.00
6/1/15 03:33	amazon.com	Fun Fly	1	0.018	$5.00
6/1/15 03:33	gel-boomerang.com	Fun Fly	2	0	$5.00
6/1/15 03:33	ebay.com	Fun Fly	8	0.05	$5.00
6/1/15 03:35	amazon.com	Quad	39	0.158	$39.95
6/1/15 03:35	amazon.com	Quad	77	0.377	$39.95
6/1/15 03:36	ebay.com	Aspen	8	0.05	$21.95
6/1/15 03:36	amazon.com	Fun Fly	1	0.018	$5.00
6/1/15 03:36	amazon.com	Sunspot	56	0.36	$14.00
6/1/15 03:37	gel-boomerang.com	Carlota	1	0	$19.95
6/1/15 03:37	amazon.com	Fun Fly	38	0.164	$5.00
6/1/15 03:37	coloradoboomerangs.com	Fun Fly	8	0.05	$5.00
6/1/15 03:38	amazon.com	Eagle	73	0.367	$21.95
6/1/15 03:38	amazon.com	Bellen	32	0.164	$25.00
6/1/15 03:39	gel-boomerang.com	Fun Fly	111	0.575	$5.00
6/1/15 03:39	coloradoboomerangs.com	Carlota	4	0	$19.95
6/1/15 03:39	ebay.com	Sunset	3	0	$26.00
6/1/15 03:40	amazon.com	Quad	7	0.072	$39.95
6/1/15 03:40	amazon.com	Manu MTA	2	0.019	$120.00
6/1/15 03:40	gel-boomerang.com	Quad	31	0.15	$39.95
6/1/15 03:40	ebay.com	Fun Fly	43	0.15	$5.00
6/1/15 03:41	gel-boomerang.com	Alpine	1	0	$21.95
6/1/15 03:41	amazon.com	Bellen	43	0.164	$25.00
6/1/15 03:41	ebay.com	Quad	70	0.375	$39.95
6/1/15 03:42	amazon.com	Sunshine	33	0.17	$20.00
6/1/15 03:44	coloradoboomerangs.com	Bower Aussie Round	3	0	$43.00
6/1/15 03:45	gel-boomerang.com	Carlota	28	0.15	$19.95
6/1/15 03:45	amazon.com	Crested Beaut	25	0.17	$17.95
6/1/15 03:46	ebay.com	Bellen	31	0.15	$25.00
6/1/15 03:46	ebay.com	Fun Fly	6	0.05	$5.00
6/1/15 03:46	coloradoboomerangs.com	Phoenix	41	0.15	$23.95
6/1/15 03:47	amazon.com	Yanaki	7	0.069	$23.95
6/1/15 03:47	gel-boomerang.com	Fun Fly	8	0.05	$5.00
6/1/15 03:47	coloradoboomerangs.com	Fun Fly	1	0	$5.00
6/1/15 03:48	amazon.com	Fun Fly	73	0.369	$5.00
6/1/15 03:48	coloradoboomerangs.com	Fun Fly	3	0	$5.00
6/1/15 03:49	ebay.com	Bower Aussie Round	70	0.375	$43.00
6/1/15 03:50	amazon.com	Manu MTA	1	0.018	$120.00
6/1/15 03:50	amazon.com	Carlota	2	0.018	$19.95
6/1/15 03:50	coloradoboomerangs.com	Alpine	17	0.075	$21.95
6/1/15 03:51	amazon.com	Fun Fly	5	0.073	$5.00
6/1/15 03:51	coloradoboomerangs.com	Sunset	145	0.575	$26.00
6/1/15 03:51	gel-boomerang.com	Quad	31	0.15	$39.95
