Date Time	Web Site	Product	Quantity	Discount	Retail Price
3/1/15 01:00	coloradoboomerangs.com	Aspen	40	0.15	$21.95
3/1/15 01:01	ebay.com	Alpine	26	0.15	$21.95
3/1/15 01:21	coloradoboomerangs.com	Fun Fly	64	0.375	$5.00
3/1/15 01:35	amazon.com	Yanaki	1	0.019	$23.95
3/1/15 01:36	ebay.com	Darnell Tri Fly	3	0	$9.95
3/1/15 01:42	gel-boomerang.com	Quad	2	0	$39.95
3/1/15 02:10	amazon.com	Quad	2	0.019	$39.95
3/1/15 02:12	amazon.com	Bower Aussie Round	31	0.159	$43.00
3/1/15 02:17	ebay.com	Fun Fly	94	0.375	$5.00
3/1/15 02:20	coloradoboomerangs.com	Mejestic Beaut	6	0.05	$26.95
3/1/15 02:23	amazon.com	Carlota	1	0.018	$19.95
3/1/15 02:23	coloradoboomerangs.com	GelFast	34	0.15	$24.00
3/1/15 02:23	gel-boomerang.com	Fire Aspen	38	0.15	$22.00
3/1/15 02:23	ebay.com	Bellen	153	0.575	$25.00
3/1/15 02:23	coloradoboomerangs.com	Crested Beaut	36	0.15	$17.95
3/1/15 02:26	amazon.com	GelFast	52	0.357	$24.00
3/1/15 02:29	amazon.com	Fun Fly	2	0.019	$5.00
3/1/15 02:32	coloradoboomerangs.com	Fun Fly	71	0.375	$5.00
3/1/15 02:33	ebay.com	Crested Beaut	44	0.15	$17.95
3/1/15 02:37	ebay.com	Bellen	2	0	$25.00
3/1/15 02:38	gel-boomerang.com	Quad	3	0	$39.95
3/1/15 02:47	ebay.com	Manu LD	1	0	$250.00
3/1/15 02:54	ebay.com	Darnell Tri Fly	43	0.15	$9.95
3/1/15 02:57	amazon.com	Carlota	6	0.069	$19.95
3/1/15 02:59	ebay.com	Manu MTA	1	0	$120.00
3/1/15 03:05	ebay.com	Sunset	1	0	$26.00
3/1/15 03:06	ebay.com	Fun Fly	1	0	$5.00
3/1/15 03:12	coloradoboomerangs.com	Fun Fly	30	0.15	$5.00
3/1/15 03:13	ebay.com	Frido Fast Catch	3	0	$50.00
3/1/15 03:18	ebay.com	Bellen	53	0.375	$25.00
3/1/15 03:19	amazon.com	Bower Aussie Round	31	0.169	$43.00
3/1/15 03:22	amazon.com	Carlota	34	0.158	$19.95
3/1/15 03:24	amazon.com	Quad	26	0.161	$39.95
3/1/15 03:25	amazon.com	Fun Fly	7	0.073	$5.00
3/1/15 03:27	coloradoboomerangs.com	Fun Fly	4	0	$5.00
3/1/15 03:30	coloradoboomerangs.com	Darnell Tri Fly	27	0.15	$9.95
3/1/15 03:37	amazon.com	Fun Fly	2	0.02	$5.00
3/1/15 03:42	coloradoboomerangs.com	Carlota	33	0.15	$19.95
3/1/15 03:45	coloradoboomerangs.com	Fun Fly	33	0.15	$5.00
3/1/15 03:48	amazon.com	Fun Fly	4	0.019	$5.00
3/1/15 03:53	coloradoboomerangs.com	Quad	60	0.375	$39.95
3/1/15 03:56	gel-boomerang.com	Fun Fly	68	0.375	$5.00
3/1/15 03:57	ebay.com	Bellen	3	0	$25.00
3/1/15 03:57	amazon.com	Quad	25	0.162	$39.95
3/1/15 04:03	ebay.com	Darnell Tri Fly	39	0.15	$9.95
3/1/15 04:05	ebay.com	Bellen	4	0	$25.00
3/1/15 04:05	amazon.com	Sunshine	32	0.165	$20.00
3/1/15 04:07	amazon.com	Sunshine	21	0.1	$20.00
3/1/15 04:17	amazon.com	Crested Beaut	55	0.362	$17.95
3/1/15 04:17	amazon.com	Fun Fly	1	0.019	$5.00
3/1/15 04:18	ebay.com	Fun Fly	1	0	$5.00
3/1/15 04:20	coloradoboomerangs.com	Fun Fly	6	0.05	$5.00
3/1/15 04:20	coloradoboomerangs.com	Sunshine	2	0	$20.00
3/1/15 04:21	amazon.com	Fun Fly	2	0.018	$5.00
3/1/15 04:26	amazon.com	Mejestic Beaut	4	0.018	$26.95
3/1/15 04:31	coloradoboomerangs.com	Carlota Doublers	1	0	$75.00
3/1/15 04:34	coloradoboomerangs.com	Carlota Doublers	3	0	$75.00
3/1/15 04:38	amazon.com	Crested Beaut	58	0.366	$17.95
3/1/15 04:39	coloradoboomerangs.com	Aspen	31	0.15	$21.95
3/1/15 04:44	ebay.com	Fun Fly	1	0	$5.00
3/1/15 04:47	coloradoboomerangs.com	Carlota	4	0	$19.95
3/1/15 04:48	ebay.com	Carlota	3	0	$19.95
3/1/15 04:50	gel-boomerang.com	Bellen	2	0	$25.00
3/1/15 04:51	ebay.com	Quad	3	0	$39.95
3/1/15 04:56	ebay.com	Carlota	30	0.15	$19.95
3/1/15 04:57	gel-boomerang.com	Eagle	2	0	$21.95
3/1/15 04:59	ebay.com	Bellen	1	0	$25.00
3/1/15 05:01	amazon.com	Crested Beaut	7	0.071	$17.95
3/1/15 05:02	amazon.com	Fun Fly	141	0.563	$5.00
3/1/15 05:03	coloradoboomerangs.com	Crested Beaut	36	0.15	$17.95
3/1/15 05:09	coloradoboomerangs.com	Fun Fly	1	0	$5.00
3/1/15 05:09	ebay.com	Crested Beaut	25	0.15	$17.95
3/1/15 05:14	ebay.com	Carlota	28	0.15	$19.95
3/1/15 05:16	amazon.com	Sunshine	6	0.069	$20.00
3/1/15 05:18	ebay.com	Quad	6	0.05	$39.95
3/1/15 05:23	coloradoboomerangs.com	Bellen	1	0	$25.00
3/1/15 05:25	ebay.com	Carlota	43	0.15	$19.95
3/1/15 05:29	amazon.com	Quad	25	0.17	$39.95
3/1/15 06:01	gel-boomerang.com	Carlota Doublers	4	0	$75.00
3/1/15 06:24	coloradoboomerangs.com	Sunshine	29	0.15	$20.00
3/1/15 06:27	ebay.com	Alpine	4	0	$21.95
3/1/15 07:44	amazon.com	Fun Fly	2	0.019	$5.00
3/1/15 08:00	gel-boomerang.com	Bellen	70	0.375	$25.00
3/1/15 08:21	amazon.com	Bellen	4	0.019	$25.00
3/1/15 08:29	amazon.com	Bellen	72	0.369	$25.00
3/1/15 09:02	gel-boomerang.com	Crested Beaut	149	0.575	$17.95
3/1/15 09:28	amazon.com	Quad	5	0.068	$39.95
3/1/15 09:57	ebay.com	Quad	5	0.05	$39.95
3/1/15 10:08	amazon.com	Alpine	2	0.019	$21.95
3/1/15 10:23	amazon.com	Bellen	9	0.071	$25.00
3/1/15 10:23	amazon.com	Carlota	28	0.168	$19.95
3/1/15 10:29	coloradoboomerangs.com	Fun Fly	6	0.05	$5.00
3/1/15 10:30	gel-boomerang.com	Yanaki	5	0.05	$23.95
3/1/15 10:49	amazon.com	Quad	1	0.019	$39.95
3/1/15 10:51	coloradoboomerangs.com	Mejestic Beaut	3	0	$26.95
3/1/15 10:57	amazon.com	Quad	7	0.068	$39.95
3/1/15 11:00	ebay.com	Quad	38	0.15	$39.95
3/1/15 11:00	amazon.com	Fun Fly	3	0.018	$5.00
3/1/15 11:01	gel-boomerang.com	Sunset	38	0.15	$26.00
3/1/15 11:01	amazon.com	Bower Aussie Round	61	0.377	$43.00
3/1/15 11:05	coloradoboomerangs.com	Crested Beaut	135	0.575	$17.95
3/1/15 11:05	amazon.com	Darnell Tri Fly	7	0.069	$9.95
3/1/15 11:05	coloradoboomerangs.com	Quad	6	0.05	$39.95
3/1/15 11:06	ebay.com	Sunset	7	0.05	$26.00
3/1/15 11:06	amazon.com	Mejestic Beaut	60	0.363	$26.95
3/1/15 11:07	ebay.com	Sunshine	68	0.375	$20.00
3/1/15 11:09	coloradoboomerangs.com	Fun Fly	2	0	$5.00
3/1/15 11:11	amazon.com	Fun Fly	4	0.019	$5.00
3/1/15 11:14	amazon.com	Fun Fly	40	0.161	$5.00
3/1/15 11:14	coloradoboomerangs.com	Yanaki	5	0.05	$23.95
3/1/15 11:16	ebay.com	Quad	1	0	$39.95
3/1/15 11:18	coloradoboomerangs.com	Alpine	2	0	$21.95
3/1/15 11:19	amazon.com	Bower Aussie Round	1	0.018	$43.00
3/1/15 11:19	coloradoboomerangs.com	Fun Fly	2	0	$5.00
3/1/15 11:20	amazon.com	Alpine	58	0.365	$21.95
3/1/15 11:20	coloradoboomerangs.com	Quad	40	0.15	$39.95
3/1/15 11:23	ebay.com	Bower Aussie Round	31	0.15	$43.00
3/1/15 11:26	amazon.com	Bellen	6	0.07	$25.00
3/1/15 11:26	coloradoboomerangs.com	Fun Fly	2	0	$5.00
3/1/15 11:26	amazon.com	Aspen	36	0.164	$21.95
3/1/15 11:27	amazon.com	Bower Aussie Round	31	0.162	$43.00
3/1/15 11:27	amazon.com	Sunset	37	0.166	$26.00
3/1/15 11:27	coloradoboomerangs.com	Bellen	35	0.15	$25.00
3/1/15 11:27	ebay.com	Fun Fly	56	0.375	$5.00
3/1/15 11:28	ebay.com	Quad	1	0	$39.95
3/1/15 11:28	amazon.com	Crested Beaut	1	0.019	$17.95
3/1/15 11:29	ebay.com	Fun Fly	8	0.05	$5.00
3/1/15 11:30	amazon.com	Sunshine	4	0.018	$20.00
3/1/15 11:31	amazon.com	Quad	103	0.563	$39.95
3/1/15 11:32	ebay.com	Carlota	153	0.575	$19.95
3/1/15 11:33	amazon.com	Fun Fly	5	0.073	$5.00
3/1/15 11:34	amazon.com	Alpine	1	0.018	$21.95
3/1/15 11:34	amazon.com	Fun Fly	87	0.382	$5.00
3/1/15 11:37	coloradoboomerangs.com	Quad	34	0.15	$39.95
3/1/15 11:37	ebay.com	Bower Aussie Round	29	0.15	$43.00
3/1/15 11:43	amazon.com	Fun Fly	1	0.019	$5.00
3/1/15 11:45	amazon.com	Fun Fly	6	0.071	$5.00
3/1/15 11:46	amazon.com	Bower Aussie Round	33	0.164	$43.00
3/1/15 11:46	ebay.com	Carlota	2	0	$19.95
3/1/15 11:47	ebay.com	Sunset	60	0.375	$26.00
3/1/15 11:48	gel-boomerang.com	Fun Fly	42	0.15	$5.00
3/1/15 11:49	coloradoboomerangs.com	Fun Fly	7	0.05	$5.00
3/1/15 11:51	amazon.com	Fire Aspen	142	0.549	$22.00
3/1/15 11:51	ebay.com	Fun Fly	2	0	$5.00
3/1/15 11:52	ebay.com	Fire Aspen	3	0	$22.00
3/1/15 11:54	gel-boomerang.com	Mejestic Beaut	70	0.375	$26.95
3/1/15 11:55	ebay.com	Bellen	59	0.375	$25.00
3/1/15 11:55	gel-boomerang.com	Crested Beaut	71	0.375	$17.95
3/1/15 11:57	amazon.com	Fire Aspen	36	0.163	$22.00
3/1/15 11:59	coloradoboomerangs.com	Carlota Doublers	2	0	$75.00
3/1/15 12:00	ebay.com	Fun Fly	25	0.15	$5.00
3/1/15 12:02	ebay.com	Carlota	48	0.15	$19.95
3/1/15 12:04	gel-boomerang.com	Quad	2	0	$39.95
3/1/15 12:05	amazon.com	Fun Fly	9	0.068	$5.00
3/1/15 12:07	amazon.com	Sunspot	3	0.019	$14.00
3/1/15 12:07	amazon.com	Fun Fly	3	0.019	$5.00
3/1/15 12:08	amazon.com	Bower Aussie Round	3	0.019	$43.00
3/1/15 12:09	amazon.com	GelFast	1	0.019	$24.00
3/1/15 12:09	coloradoboomerangs.com	Fun Fly	26	0.15	$5.00
3/1/15 12:10	amazon.com	Fun Fly	3	0.019	$5.00
3/1/15 12:13	amazon.com	Mejestic Beaut	6	0.07	$26.95
3/1/15 12:13	coloradoboomerangs.com	Crested Beaut	20	0.075	$17.95
3/1/15 12:14	amazon.com	Fun Fly	1	0.018	$5.00
3/1/15 12:14	amazon.com	Sunset	127	0.557	$26.00
3/1/15 12:15	ebay.com	Sunshine	1	0	$20.00
3/1/15 12:15	coloradoboomerangs.com	Sunshine	37	0.15	$20.00
3/1/15 12:19	coloradoboomerangs.com	Mejestic Beaut	6	0.05	$26.95
3/1/15 12:19	amazon.com	Fun Fly	2	0.019	$5.00
3/1/15 12:20	ebay.com	Sunspot	1	0	$14.00
3/1/15 12:21	amazon.com	Fun Fly	6	0.071	$5.00
3/1/15 12:24	coloradoboomerangs.com	Bellen	30	0.15	$25.00
3/1/15 12:24	amazon.com	Carlota Doublers	1	0.018	$75.00
3/1/15 12:26	ebay.com	Quad	35	0.15	$39.95
3/1/15 12:26	amazon.com	Fun Fly	151	0.589	$5.00
3/1/15 12:26	amazon.com	Carlota	111	0.564	$19.95
3/1/15 12:30	ebay.com	Sunspot	7	0.05	$14.00
3/1/15 12:30	ebay.com	Fire Aspen	7	0.05	$22.00
3/1/15 12:31	coloradoboomerangs.com	Fun Fly	40	0.15	$5.00
3/1/15 12:32	amazon.com	Fire Aspen	31	0.165	$22.00
3/1/15 12:33	amazon.com	Quad	119	0.596	$39.95
3/1/15 12:33	amazon.com	Quad	1	0.019	$39.95
3/1/15 12:33	ebay.com	Quad	64	0.375	$39.95
3/1/15 12:36	coloradoboomerangs.com	Aspen	122	0.575	$21.95
3/1/15 12:38	coloradoboomerangs.com	Quad	2	0	$39.95
3/1/15 12:39	coloradoboomerangs.com	Fun Fly	2	0	$5.00
3/1/15 12:39	coloradoboomerangs.com	Bower Aussie Round	4	0	$43.00
3/1/15 12:40	ebay.com	Fun Fly	7	0.05	$5.00
3/1/15 12:46	ebay.com	Fun Fly	2	0	$5.00
3/1/15 12:51	amazon.com	Sunset	2	0.019	$26.00
3/1/15 12:53	coloradoboomerangs.com	Sunshine	1	0	$20.00
3/1/15 12:54	coloradoboomerangs.com	Carlota	38	0.15	$19.95
3/1/15 12:54	amazon.com	Eagle	142	0.591	$21.95
3/1/15 12:59	ebay.com	Fun Fly	3	0	$5.00
3/1/15 13:00	coloradoboomerangs.com	Fun Fly	34	0.15	$5.00
3/1/15 13:02	ebay.com	Crested Beaut	57	0.375	$17.95
3/1/15 13:08	amazon.com	Fun Fly	3	0.019	$5.00
3/1/15 13:08	ebay.com	Frido Fast Catch	4	0	$50.00
3/1/15 13:08	ebay.com	Crested Beaut	2	0	$17.95
3/1/15 13:09	coloradoboomerangs.com	Mejestic Beaut	3	0	$26.95
3/1/15 13:11	ebay.com	Fun Fly	6	0.05	$5.00
3/1/15 13:13	amazon.com	Fun Fly	34	0.163	$5.00
3/1/15 13:14	amazon.com	Darnell Tri Fly	47	0.167	$9.95
3/1/15 13:14	amazon.com	Sunset	36	0.166	$26.00
3/1/15 13:14	coloradoboomerangs.com	Crested Beaut	45	0.15	$17.95
3/1/15 13:15	amazon.com	Mejestic Beaut	1	0.019	$26.95
3/1/15 13:16	coloradoboomerangs.com	Fun Fly	37	0.15	$5.00
3/1/15 13:17	amazon.com	Bower Aussie Round	2	0.018	$43.00
3/1/15 13:17	gel-boomerang.com	Carlota Doublers	2	0	$75.00
3/1/15 13:19	ebay.com	Fun Fly	57	0.375	$5.00
3/1/15 13:20	amazon.com	Aspen	5	0.068	$21.95
3/1/15 13:22	amazon.com	Alpine	1	0.019	$21.95
3/1/15 13:22	coloradoboomerangs.com	Yanaki	6	0.05	$23.95
3/1/15 13:24	amazon.com	Crested Beaut	1	0.02	$17.95
